POI_ID,POI_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LC_LO,LC_LA
21086024,국치길,서울특별시,중구,남산동2가,126.9847445,37.55619332
21085639,안다미로,부산광역시,북구,만덕동,129.0309972,35.20593812
21085871,행주산성먹거리촌,경기도,고양시 덕양구,행주내동,126.8256573,37.60025366
8479734,우이동먹거리마을,서울특별시,강북구,우이동,127.0118654,37.66451838
21086087,고모리카페촌,경기도,포천시,소흘읍,127.1643301,37.78325687
21085626,영도동삼동패총문화의거리,부산광역시,영도구,동삼동,129.0802338,35.06928737
1200595,부대찌개거리,경기도,의정부시,의정부동,127.0496284,37.74414044
21086182,고샅길행복마을,부산광역시,사상구,괘법동,128.989033,35.16446703
21086030,관악로,서울특별시,관악구,봉천동,126.9525409,37.47144741
7232772,공릉국민관광지,경기도,파주시,조리읍,126.8357793,37.75041771
16925045,수원벽화마을,경기도,수원시 팔달구,북수동,127.0166987,37.28601896
5965336,먹자골목,부산광역시,중구,창선동2가,129.0289066,35.09965923
21085907,파주골순두부촌,경기도,포천시,영중면,127.279099,38.02708376
21085670,낙원동아구찜거리,서울특별시,종로구,낙원동,126.988114,37.57339541
21085697,연인의거리,서울특별시,서초구,양재동,127.0419546,37.47810008
21085601,초량불백거리,부산광역시,동구,초량동,129.0385036,35.12044323
8292366,도라산전망대,경기도,파주시,장단면,126.7005785,37.90838356
21085535,운중동카페거리,경기도,성남시 분당구,운중동,127.0837744,37.38972913
21086086,운중동먹거리촌,경기도,성남시 분당구,운중동,127.0583047,37.39141632
21085541,일산원마운트카페거리,경기도,고양시 일산서구,대화동,126.7545221,37.66455113
17554906,신봉동외식타운,경기도,용인시 수지구,신봉동,127.0516162,37.33356877
4991002,로데오거리,경기도,고양시 일산동구,장항동,126.7697787,37.65992986
20953327,무학먹거리,경기도,시흥시,신천동,126.7838201,37.44040753
21086149,꽃뫼마을그림산책길,경기도,수원시 팔달구,화서동,126.9900279,37.28666197
21085624,영도다리목생약건재상거리,부산광역시,중구,남포동1가,129.0357737,35.09711271
20868022,경의선책거리,서울특별시,마포구,동교동,126.9247919,37.55952933
16716539,팥빙수골목,부산광역시,중구,신창동1가,129.0302058,35.10020184
22280038,광안리불고기거리,부산광역시,수영구,광안동,129.1143008,35.14894423
21085879,정자동먹자골목,경기도,성남시 분당구,정자동,127.1138448,37.36033474
22112751,화음길,경기도,남양주시,조안면,127.3419357,37.60708188
21085903,의정부떡볶이골목,경기도,의정부시,의정부동,127.0503921,37.73976734
17691726,부산명륜동가구거리,부산광역시,동래구,명륜동,129.0831064,35.21372856
21086088,대부도방아머리먹거리타운,경기도,안산시 단원구,대부북동,126.5762212,37.28842867
21086084,미음나루음식문화특화거리,경기도,남양주시,수석동,127.1704119,37.58603697
16847154,공덕동족발골목,서울특별시,마포구,공덕동,126.9530491,37.54480409
21085870,서현동먹자골목,경기도,성남시 분당구,서현동,127.1307317,37.38418368
21085909,용문천년시장버섯국밥거리,경기도,양평군,용문면,127.5947449,37.48386897
6430854,남대문시장갈치조림골목,서울특별시,중구,남창동,126.9770212,37.55948958
21085869,닭죽촌민속마을,경기도,성남시 수정구,단대동,127.1559764,37.46191771
21086029,한성백제왕도길,서울특별시,송파구,방이동,127.118731,37.52312761
17940758,장기동먹자골목,경기도,김포시,장기동,126.6715333,37.64403653
5614154,삼각지대구탕골목,서울특별시,용산구,용산동3가,126.9748559,37.53438504
20934499,서림길,서울특별시,관악구,신림동,126.9389146,37.47302478
21085702,흑리단길,서울특별시,동작구,흑석동,126.964515,37.50765404
16713755,공덕역전골목,서울특별시,마포구,공덕동,126.9534543,37.54471466
20868026,광교카페거리,경기도,수원시 영통구,이의동,127.0539668,37.29466682
16850906,운악산우리콩두부마을,경기도,가평군,조종면,127.3490982,37.86533402
21085622,달맞이갤러리촌,부산광역시,해운대구,중동,129.1822602,35.15758034
21085655,청계천애완동물거리,서울특별시,종로구,창신동,127.0153265,37.57001846
21085889,평택매운음식골목,경기도,평택시,통복동,127.0837189,36.99801578
21085539,모란시장기름골목,경기도,성남시 중원구,성남동,127.1274217,37.4304813
20916534,영등포신길동홍어거리,서울특별시,영등포구,신길동,126.9116615,37.51064703
16392153,보정동카페거리,경기도,용인시 기흥구,보정동,127.1100984,37.32161272
8292667,임진각관광지,경기도,파주시,문산읍,126.7401093,37.88931006
21085608,시티스폿,부산광역시,중구,창선동1가,129.0300215,35.09949811
8292243,40계단거리,부산광역시,중구,중앙동3가,129.0358642,35.10395864
21085701,성수동가죽거리,서울특별시,성동구,성수동2가,127.0542508,37.54275437
21085523,의정부역행복로,경기도,의정부시,의정부동,127.0482317,37.73936448
17334951,평촌먹거리촌,경기도,안양시 동안구,평촌동,126.9622549,37.38341987
21085709,통일로,서울특별시,서대문구,홍은동,126.9392562,37.59617472
11363149,목동로데오거리,서울특별시,양천구,신정동,126.8634715,37.52704301
21086179,구둣방골목,부산광역시,중구,남포동3가,129.0298899,35.09896321
5614153,성신여대패션거리,서울특별시,성북구,동선동1가,127.0179481,37.59205538
7231145,해운대해수욕장,부산광역시,해운대구,우동,129.1594775,35.15840394
10252153,금강산랜드,경기도,파주시,월롱면,126.8001616,37.79163861
20820762,기장해녀촌,부산광역시,기장군,기장읍,129.2280828,35.21796428
21085678,장안평제방길,서울특별시,동대문구,장안동,127.0772465,37.57263671
8292776,청평호반,경기도,가평군,설악면,127.4460709,37.71084247
